Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01.2020,14,14,7,18
02.01.2020,13,30,21,18
03.01.2020,17,20,9,16
04.01.2020,19,18,11,16
05.01.2020,12,22,19,24
06.01.2020,20,13,25,17
07.01.2020,17,15,11,27
08.01.2020,20,12,12,16
09.01.2020,21,23,17,17
10.01.2020,27,24,20,17
11.01.2020,21,19,18,7
12.01.2020,26,14,16,21
13.01.2020,21,21,19,22
14.01.2020,20,9,20,11
15.01.2020,17,27,19,9
16.01.2020,12,17,18,13
17.01.2020,15,15,17,11
18.01.2020,15,24,18,24
19.01.2020,17,16,20,14
20.01.2020,18,12,10,16
21.01.2020,24,13,18,18
22.01.2020,19,18,13,11
23.01.2020,6,12,15,20
24.01.2020,14,15,14,15
25.01.2020,15,10,15,25
26.01.2020,12,20,20,18
27.01.2020,12,16,20,25
28.01.2020,22,19,17,17
29.01.2020,15,21,20,10
30.01.2020,10,20,16,25
31.01.2020,19,12,19,18
01.02.2020,10,10,30,18
02.02.2020,13,23,10,22
03.02.2020,20,18,15,18
04.02.2020,19,16,18,15
05.02.2020,8,14,11,22
06.02.2020,8,23,16,7
07.02.2020,13,13,16,21
08.02.2020,15,18,7,19
09.02.2020,15,18,25,11
10.02.2020,17,14,7,22
11.02.2020,13,11,13,30
12.02.2020,9,12,13,23
13.02.2020,23,13,12,21
14.02.2020,11,11,20,21
15.02.2020,14,14,14,25
16.02.2020,14,16,21,18
17.02.2020,12,16,13,9
18.02.2020,23,16,20,17
19.02.2020,26,11,17,14
20.02.2020,10,18,22,18
21.02.2020,17,17,16,10
22.02.2020,11,13,11,20
23.02.2020,13,11,9,20
24.02.2020,16,16,11,21
25.02.2020,10,17,13,16
26.02.2020,13,16,13,10
27.02.2020,21,16,17,21
28.02.2020,16,13,13,20
01.03.2020,22,14,14,26
02.03.2020,16,11,25,21
03.03.2020,16,8,18,19
04.03.2020,14,14,14,17
05.03.2020,14,15,10,15
06.03.2020,13,13,7,15
07.03.2020,18,17,14,19
08.03.2020,11,17,16,20
09.03.2020,17,13,16,18
10.03.2020,10,14,5,16
11.03.2020,15,19,18,17
12.03.2020,11,22,18,13
13.03.2020,13,13,18,18
14.03.2020,11,24,12,16
15.03.2020,15,9,14,9
16.03.2020,18,17,21,14
17.03.2020,8,21,12,24
18.03.2020,18,15,6,10
19.03.2020,10,13,21,18
20.03.2020,20,13,14,12
21.03.2020,22,8,13,14
22.03.2020,15,20,20,14
23.03.2020,10,10,21,16
24.03.2020,17,17,18,15
25.03.2020,16,12,21,16
26.03.2020,17,16,15,13
27.03.2020,18,21,15,15
28.03.2020,20,13,18,11
29.03.2020,11,14,15,13
30.03.2020,23,7,23,18
31.03.2020,18,16,15,16
01.04.2020,17,17,13,14
02.04.2020,17,15,15,17
03.04.2020,17,16,11,21
04.04.2020,12,19,16,16
05.04.2020,10,12,15,15
06.04.2020,19,15,14,21
07.04.2020,18,13,15,12
08.04.2020,11,13,7,15
09.04.2020,10,12,24,13
10.04.2020,18,18,15,18
11.04.2020,11,12,19,19
12.04.2020,11,14,10,8
13.04.2020,23,11,14,12
14.04.2020,6,11,22,14
15.04.2020,15,16,16,8
16.04.2020,24,9,13,8
17.04.2020,25,8,15,19
18.04.2020,14,17,15,12
19.04.2020,13,12,8,16
20.04.2020,20,19,16,11
21.04.2020,20,16,16,4
22.04.2020,18,14,9,13
23.04.2020,17,13,10,18
24.04.2020,17,13,13,14
25.04.2020,17,15,17,9
26.04.2020,17,12,18,9
27.04.2020,17,14,14,7
28.04.2020,15,14,12,19
29.04.2020,11,24,13,16
30.04.2020,18,10,18,17
01.05.2020,16,11,12,20
02.05.2020,18,14,13,7
03.05.2020,14,18,11,13
04.05.2020,18,13,23,9
05.05.2020,17,15,14,15
06.05.2020,21,15,13,22
07.05.2020,14,18,15,14
08.05.2020,16,20,17,19
09.05.2020,17,14,10,13
10.05.2020,12,8,14,16
11.05.2020,16,13,14,16
12.05.2020,10,11,16,14
13.05.2020,14,10,9,15
14.05.2020,14,14,18,20
15.05.2020,11,12,11,15
16.05.2020,13,11,13,6
17.05.2020,23,11,15,17
18.05.2020,16,8,15,10
19.05.2020,11,12,9,12
20.05.2020,22,15,12,11
21.05.2020,27,12,14,21
22.05.2020,18,12,16,22
23.05.2020,20,15,14,14
24.05.2020,12,16,12,11
25.05.2020,15,14,16,17
26.05.2020,21,9,12,19
27.05.2020,17,15,14,14
28.05.2020,9,14,15,14
29.05.2020,21,12,13,14
30.05.2020,16,14,15,14
31.05.2020,15,14,9,18
01.06.2020,12,17,16,12
02.06.2020,20,16,11,13
03.06.2020,16,17,8,17
04.06.2020,11,14,13,6
05.06.2020,13,17,11,12
06.06.2020,18,16,15,11
07.06.2020,13,15,9,9
08.06.2020,17,16,7,11
09.06.2020,21,17,16,14
10.06.2020,18,16,15,23
11.06.2020,13,18,9,10
12.06.2020,11,13,19,15
13.06.2020,11,15,11,15
14.06.2020,19,13,12,8
15.06.2020,13,12,12,16
16.06.2020,12,10,12,16
17.06.2020,23,15,14,9
18.06.2020,16,12,15,15
19.06.2020,9,15,12,11
20.06.2020,12,22,4,10
21.06.2020,17,13,19,11
22.06.2020,12,18,22,12
23.06.2020,15,8,13,14
24.06.2020,9,8,15,6
25.06.2020,10,17,15,13
26.06.2020,19,10,12,8
27.06.2020,14,24,15,13
28.06.2020,12,20,8,16
29.06.2020,13,13,16,15
30.06.2020,15,12,11,19
01.07.2020,18,21,10,18
02.07.2020,19,14,16,13
03.07.2020,17,8,18,16
04.07.2020,20,17,17,18
05.07.2020,13,21,16,17
06.07.2020,23,11,11,19
07.07.2020,23,14,10,13
08.07.2020,27,17,21,18
09.07.2020,28,15,11,12
10.07.2020,24,14,14,16
11.07.2020,17,22,14,21
12.07.2020,10,18,6,23
13.07.2020,28,12,13,11
14.07.2020,16,17,23,12
15.07.2020,12,8,18,14
16.07.2020,27,10,16,11
17.07.2020,19,13,12,10
18.07.2020,21,12,15,18
19.07.2020,24,21,12,20
20.07.2020,28,15,17,16
21.07.2020,19,15,13,18
22.07.2020,25,7,12,24
23.07.2020,22,11,8,13
24.07.2020,21,17,11,17
25.07.2020,31,12,19,16
26.07.2020,37,13,9,23
27.07.2020,35,6,22,9
28.07.2020,27,15,20,15
29.07.2020,28,21,20,19
30.07.2020,29,14,10,16
31.07.2020,29,16,18,16
01.08.2020,22,11,16,6
02.08.2020,36,11,16,18
03.08.2020,18,14,18,9
04.08.2020,28,9,16,15
05.08.2020,32,11,14,5
06.08.2020,32,11,16,13
07.08.2020,24,12,17,11
08.08.2020,26,14,15,13
09.08.2020,31,21,13,10
10.08.2020,28,9,16,9
11.08.2020,32,13,19,10
12.08.2020,21,10,12,13
13.08.2020,33,17,14,13
14.08.2020,30,10,16,14
15.08.2020,27,16,15,17
16.08.2020,41,11,28,13
17.08.2020,20,11,15,7
18.08.2020,20,10,23,13
19.08.2020,38,15,14,10
20.08.2020,25,15,13,15
21.08.2020,28,12,12,11
22.08.2020,35,9,7,15
23.08.2020,30,13,7,14
24.08.2020,34,13,11,13
25.08.2020,30,12,18,12
26.08.2020,29,10,18,14
27.08.2020,32,13,14,12
28.08.2020,33,21,16,7
29.08.2020,40,13,16,16
30.08.2020,26,16,11,6
31.08.2020,31,14,16,12
01.09.2020,31,14,20,8
02.09.2020,30,25,12,8
03.09.2020,48,17,19,9
04.09.2020,38,20,20,14
05.09.2020,33,10,22,17
06.09.2020,36,8,14,16
07.09.2020,39,9,20,13
08.09.2020,28,9,12,13
09.09.2020,40,16,16,9
10.09.2020,32,12,10,17
11.09.2020,22,17,12,15
12.09.2020,23,10,10,15
13.09.2020,35,9,21,18
14.09.2020,34,20,12,18
15.09.2020,30,10,14,21
16.09.2020,23,21,11,13
17.09.2020,44,17,13,12
18.09.2020,20,10,12,7
19.09.2020,29,12,16,16
20.09.2020,27,12,10,16
21.09.2020,19,10,18,21
22.09.2020,24,6,9,16
23.09.2020,26,13,7,11
24.09.2020,22,8,16,10
25.09.2020,37,8,7,8
26.09.2020,30,17,11,14
27.09.2020,24,11,15,10
28.09.2020,35,14,9,11
29.09.2020,22,4,17,10
30.09.2020,21,13,18,16
01.10.2020,28,12,16,11
02.10.2020,27,18,7,15
03.10.2020,28,14,16,19
04.10.2020,21,12,12,15
05.10.2020,32,13,16,17
06.10.2020,19,18,18,19
07.10.2020,18,8,10,15
08.10.2020,19,13,11,17
09.10.2020,18,14,13,16
10.10.2020,25,12,15,17
11.10.2020,24,16,10,15
12.10.2020,24,12,8,15
13.10.2020,16,11,12,15
14.10.2020,20,15,11,-1
15.10.2020,12,18,9,16
16.10.2020,19,14,14,10
17.10.2020,25,12,8,13
18.10.2020,25,14,6,15
19.10.2020,19,16,21,15
20.10.2020,24,22,8,10
21.10.2020,19,11,17,13
22.10.2020,35,16,15,14
23.10.2020,27,11,14,16
24.10.2020,19,16,18,10
25.10.2020,28,17,11,11
26.10.2020,19,18,17,9
27.10.2020,28,12,11,14
28.10.2020,26,10,11,12
29.10.2020,34,16,18,10
30.10.2020,22,11,11,15
31.10.2020,25,18,17,12
01.11.2020,17,21,13,10
02.11.2020,24,10,15,10
03.11.2020,24,12,9,15
04.11.2020,24,15,6,17
05.11.2020,23,17,16,12
06.11.2020,26,16,23,15
07.11.2020,17,13,17,20
08.11.2020,34,12,9,16
09.11.2020,20,17,15,18
10.11.2020,24,18,13,17
11.11.2020,29,12,12,11
12.11.2020,26,13,12,13
13.11.2020,26,18,8,30
14.11.2020,14,21,19,12
15.11.2020,18,11,12,18
16.11.2020,23,7,13,13
17.11.2020,24,10,11,14
18.11.2020,23,18,14,15
19.11.2020,38,17,12,10
20.11.2020,19,14,16,19
21.11.2020,25,10,15,18
22.11.2020,22,16,14,12
23.11.2020,28,9,15,14
24.11.2020,35,14,15,19
25.11.2020,38,13,6,10
26.11.2020,28,8,16,12
27.11.2020,24,6,18,20
28.11.2020,30,17,18,17
29.11.2020,31,12,12,20
30.11.2020,25,12,21,17
01.12.2020,33,20,10,21
02.12.2020,29,15,9,9
03.12.2020,36,19,13,21
04.12.2020,25,11,18,15
05.12.2020,33,15,10,13
06.12.2020,25,14,7,15
07.12.2020,34,11,17,17
08.12.2020,23,14,13,12
09.12.2020,22,20,15,15
10.12.2020,26,20,18,16
11.12.2020,23,18,13,21
12.12.2020,31,22,19,20
13.12.2020,34,16,15,13
14.12.2020,29,16,19,17
15.12.2020,27,13,9,10
16.12.2020,25,21,14,16
17.12.2020,25,16,20,19
18.12.2020,19,13,18,18
19.12.2020,32,25,20,14
20.12.2020,21,14,9,10
21.12.2020,39,23,19,12
22.12.2020,32,9,18,15
23.12.2020,21,23,13,17
24.12.2020,25,15,12,14
25.12.2020,23,16,20,17
26.12.2020,23,16,18,11
27.12.2020,35,17,22,17
28.12.2020,27,17,23,12
29.12.2020,17,18,23,8
30.12.2020,21,27,15,15
31.12.2020,11,18,26,13
01.01.2021,14,14,14,7
02.01.2021,14,13,30,21
03.01.2021,10,17,20,9
04.01.2021,21,20,18,11
05.01.2021,28,12,22,19
06.01.2021,18,20,13,25
07.01.2021,19,17,15,11
08.01.2021,22,20,12,12
09.01.2021,24,21,23,17
10.01.2021,19,27,24,20
11.01.2021,14,21,19,18
12.01.2021,24,26,14,16
13.01.2021,23,21,21,19
14.01.2021,13,20,9,20
15.01.2021,22,17,27,19
16.01.2021,22,12,17,18
17.01.2021,17,15,15,17
18.01.2021,16,15,24,18
19.01.2021,15,17,16,20
20.01.2021,22,18,12,10
21.01.2021,13,24,13,18
22.01.2021,16,19,18,13
23.01.2021,16,6,12,15
24.01.2021,14,14,15,14
25.01.2021,20,15,10,15
26.01.2021,16,12,20,20
27.01.2021,19,12,16,20
28.01.2021,19,22,19,17
29.01.2021,17,15,21,20
30.01.2021,17,11,20,16
31.01.2021,15,19,12,19
01.02.2021,22,10,10,30
02.02.2021,12,13,23,10
03.02.2021,14,20,18,15
04.02.2021,23,19,16,18
05.02.2021,16,8,14,11
06.02.2021,13,8,23,16
07.02.2021,11,13,13,16
08.02.2021,14,16,18,7
09.02.2021,13,15,18,25
10.02.2021,16,17,14,7
11.02.2021,17,13,11,13
12.02.2021,9,9,12,13
13.02.2021,14,23,13,12
14.02.2021,10,11,11,20
15.02.2021,21,14,14,14
16.02.2021,18,14,16,21
17.02.2021,23,12,16,13
18.02.2021,17,23,16,20
19.02.2021,16,26,11,17
20.02.2021,22,10,18,22
21.02.2021,17,17,17,16
22.02.2021,18,11,13,11
23.02.2021,17,13,11,9
24.02.2021,17,16,16,11
25.02.2021,10,10,17,13
26.02.2021,16,13,16,13
27.02.2021,18,21,16,17
28.02.2021,16,16,13,13
01.03.2021,10,22,14,14
02.03.2021,14,16,11,25
03.03.2021,13,16,8,18
04.03.2021,29,14,14,14
05.03.2021,17,14,15,10
06.03.2021,19,13,13,7
07.03.2021,13,18,17,14
08.03.2021,18,11,17,16
09.03.2021,9,17,13,16
10.03.2021,20,10,14,5
11.03.2021,14,15,19,18
12.03.2021,17,11,22,18
13.03.2021,21,13,13,18
14.03.2021,15,11,24,13
15.03.2021,19,15,9,13
16.03.2021,14,18,17,21
17.03.2021,27,8,21,12
18.03.2021,19,18,15,6
19.03.2021,15,10,13,21
20.03.2021,16,20,13,14
21.03.2021,21,22,8,13
22.03.2021,25,15,20,20
23.03.2021,18,10,10,21
24.03.2021,19,17,17,18
25.03.2021,19,16,12,21
26.03.2021,17,17,16,15
27.03.2021,25,18,21,16
28.03.2021,15,20,13,17
29.03.2021,17,11,14,16
30.03.2021,23,23,7,22
31.03.2021,21,18,16,16
01.04.2021,15,17,17,13
02.04.2021,23,17,15,15
03.04.2021,24,17,16,11
04.04.2021,16,12,19,16
05.04.2021,22,10,12,15
06.04.2021,19,19,15,14
07.04.2021,14,18,13,15
08.04.2021,22,11,13,7
09.04.2021,23,10,12,24
10.04.2021,18,18,18,15
11.04.2021,20,11,12,19
12.04.2021,25,11,14,10
13.04.2021,20,23,11,14
14.04.2021,24,6,11,22
15.04.2021,26,15,16,17
16.04.2021,24,24,9,12
17.04.2021,25,25,8,15
18.04.2021,26,14,17,15
19.04.2021,24,13,12,8
20.04.2021,21,20,19,16
21.04.2021,32,20,16,16
22.04.2021,25,18,14,9
23.04.2021,16,17,13,10
24.04.2021,23,17,13,13
25.04.2021,16,17,15,17
26.04.2021,30,17,12,18
27.04.2021,13,17,14,14
28.04.2021,20,15,14,12
29.04.2021,25,11,24,13
30.04.2021,21,18,10,18
01.05.2021,28,16,11,12
02.05.2021,30,18,14,13
03.05.2021,26,14,18,11
04.05.2021,37,18,13,23
05.05.2021,25,17,15,14
06.05.2021,20,21,15,13
07.05.2021,25,14,18,15
08.05.2021,13,16,20,17
09.05.2021,30,17,14,10
10.05.2021,13,12,8,14
11.05.2021,12,16,13,14
12.05.2021,21,10,11,16
13.05.2021,15,14,10,9
